sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds
COC1=CC(=CC(OC)=C1OC)C2=NN(C=C2C=O)C=3C=CC=CC3,Z56793285,338.358,338.358,3.335,-3.63,0,5,62.58,6
CC=1C=CC=2C(=O)C3=CC=CC=C3C(=O)C2C1NC(=O)C(C#N)=CC=4C=CC=CC4,Z56850467,392.407,392.407,4.595,-7.47,1,4,87.03,4
N#CC(=CC=1C=CC=2OCOC2C1)C(=O)N3C=4C=CC=CC4SC=5C=CC=CC53,Z56835174,398.436,398.436,3.945,-6.79,0,4,62.56,3
CCOC=1C=C(C=C(C#N)C(N)=O)C=CC1OCC=2C=CC(Br)=CC2,Z56848607,401.254,401.254,3.72,-5.51,1,4,85.34,7
N#CC(=CC1=CN(N=C1C=2C=CC(=CC2)OC(F)F)C=3C=CC=CC3)C(N)=O,Z56839729,380.348,380.348,3.474,-5.13,1,4,93.93,6
CCOC=1C=C(C=C(C#N)C(N)=O)C=CC1OCC=2C=CC(C)=CC2,Z56848618,336.385,336.385,3.356,-5,1,4,85.34,7
CCCCOC(=O)C=1C=CC(=CC1)NC(=O)C(C#N)=CC=2C=CC(=CC2)N(CC)CC,Z56826424,419.517,419.517,6.235,-6.09,1,4,82.43,12
N#CC(=CC1=CNC=2C=CC=CC12)C(=O)NC=3C=CC=CC3Br,Z56832753,366.212,366.212,3.218,-6.07,2,2,68.68,4
CCOC=1C=C(C=C(C#N)C(=O)NC=2C=CC=CC2[N+]([O-])=O)C=CC1OC(=O)C=3C=CC(C)=CC3,Z56848674,471.463,471.463,5.067,-7.81,1,6,131.56,10
CC1=CC(C=C(C#N)C(=O)NC=2C=CC=CC2Br)=C(C)N1C=3C=CC=C(Cl)C3,Z56837311,454.747,454.747,6.147,-6.52,1,2,57.82,5
N#CC(=CC=1C=CC=CC1OCC=2C=CC(F)=CC2)C(=O)NC3=CC=C(C=C3O)[N+]([O-])=O,Z56848742,433.39,433.39,4.925,-6.53,2,6,125.49,8
CCOC=1C=C(C=C(C#N)C(=O)NC=2C=CC(=CC2O)[N+]([O-])=O)C=CC1OC(=O)C=3C=CC(Cl)=CC3,Z56836683,507.88,507.88,5.554,-7.56,2,7,151.79,10
