batch_size,hidden_dim,learning_rate,random_seed,gcn_test_r2,gcn_test_rmse,gcn_test_mae,gin_test_r2,gin_test_rmse,gin_test_mae,gat_test_r2,gat_test_rmse,gat_test_mae
128,16,0.0005,21,-0.15222581157870185,0.41515611906202754,0.32322437540650406,-2.1898813919756144,0.690764342618973,0.48544946961428204,-0.6658416747972258,0.49918267604445854,0.3988683450754233
128,16,0.0005,0,-0.6709974650744945,0.49995456598831606,0.41190770935573096,-3.0603306279560467,0.7793334965905984,0.5795144993105866,-0.3925494599072179,0.45640244059095714,0.37820956679459405
128,16,0.0001,42,-1.0824200642291384,0.5581190075768573,0.44118287508985676,-7.353734125494379,1.1178485503635265,0.9438384812659039,-1.266150801694482,0.582219902102043,0.45691930894140076
128,16,0.0001,21,-1.0848534499284073,0.5584450038331698,0.4360093451126866,-2.7695767289556987,0.750911814527398,0.5767393215648688,-0.6035093530119569,0.48975445167557097,0.38071662993346234
128,16,0.0001,0,-1.3402074097174252,0.5916567431773043,0.5056995304904429,-6.502256240424256,1.0593478518291868,0.8416832745391579,-1.0686613291238656,0.5562721809521213,0.4474999152084384
128,8,0.001,42,-3.2539505546182728,0.797698659684657,0.7284895442554141,-5.081000163756558,0.9537403375165996,0.8142615973186463,-3.512339262613744,0.8215680014645939,0.7386877199578501
128,8,0.001,21,-3.478554997184429,0.8184866485091027,0.7509823189353407,-1.4824478444179237,0.6093723016488288,0.45623989891269,-2.7999303001229996,0.7539290174136498,0.6909705150734065
128,8,0.001,0,-4.591349866026849,0.9145363617045977,0.8464118887251927,-11.320506467245883,1.3575534070945263,1.1639241992106037,-4.23144889400453,0.8846136512361,0.8221496812187431
128,8,0.0005,42,-4.695731719865818,0.9230333782177496,0.8442077420854286,-6.282915792536595,1.0437471143396513,0.8669645029271055,-3.967030628519935,0.8619678398627376,0.7593250823996047
128,8,0.0005,21,-3.5821904527835535,0.8279025334786472,0.7576008231573614,-6.0833470406521695,1.0293472380928679,0.8449121268138713,-3.6469168013704643,0.8337293531426011,0.7699598188218645
128,8,0.0005,0,-4.323138897860937,0.8923321545576209,0.8254299351397135,-11.285007861707726,1.3555962628802338,1.1896249877263931,-3.045554167699372,0.7779141187438616,0.7195285329065433
128,8,0.0001,42,-5.995950008227108,1.0229772893459874,0.9386101270741758,-11.613866567940505,1.3736204879912477,1.1757278155431947,-4.854646236809882,0.9358214008680235,0.8348917014294404
128,8,0.0001,21,-4.170864295019136,0.8794764478260643,0.7934664685466384,-8.556474336839376,1.1956153784705936,1.0254798715575353,-5.159780726279738,0.9598984045173821,0.835127447904217
128,8,0.0001,0,-5.022342937585856,0.9491293094014563,0.882037338003158,-13.445543270305942,1.4699737630708485,1.2889655614472388,-4.458004997207317,0.9035654328160837,0.8369850101524541
128,64,0.001,42,0.5787039121275099,0.2510362025569337,0.18997958627225012,0.027280982256957853,0.38144888255678056,0.25052554690015344,0.606791831104704,0.24252354591417866,0.18501955012102034
128,64,0.001,21,0.5383431672844576,0.2627860320893899,0.19296608408875215,0.1400146783065963,0.35866430990322956,0.23443812174682427,0.5858045003552298,0.24891171175951377,0.18959274181826874
128,64,0.001,0,0.5477762522868028,0.26008740762368293,0.19462750235684692,-0.3578890460540862,0.4506867456505097,0.2996454901372199,0.6375196933729538,0.2328546161075955,0.1788235672406766
