sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(O)C(F)(F)F.CC(OCCN(C)C)C(=O)NCCN1C=NC(=C1)C(=O)NC2CCC(=O)NC2=O,Z9311796074,522.477,408.453,-0.988,-1.907,3,7,134.66,11,https://real.enamine.net/public-enum-files/Z9311796074
O=C(O)C(F)(F)F.CC1=CN2C(=CSC2=N1)CC(=O)NCCN3C=NC(=C3)C(=O)NC4CCC(=O)NC4=O,Z9329660816,557.505,443.482,-0.503,-3.386,3,6,139.49,8,https://real.enamine.net/public-enum-files/Z9329660816
CN1N=NC(CNC(=O)C=2C=CC=3OC=CC3C2)=C1C(=O)NC4CCC(=O)NC4=O,Z9302745096,410.384,410.384,-1.026,-3.09,3,6,148.22,5,https://real.enamine.net/public-enum-files/Z9302745096
COCC1(CCCO1)C(=O)NCC=2N=NN(C)C2C(=O)NC3CCC(=O)NC3=O,Z9302745099,408.41,408.41,-2.795,-1.104,3,8,153.54,7,https://real.enamine.net/public-enum-files/Z9302745099
O=C(O)C(F)(F)F.CC(C)N1CCC[C@@H]1C(=O)NCC2=CC(=CS2)C(=O)NC3CCC(=O)NC3=O,Z9329865780,520.525,406.501,0.615,-3.383,3,5,107.61,7,https://real.enamine.net/public-enum-files/Z9329865780
O=C(NCC1=CC(=CS1)C(=O)NC2CCC(=O)NC2=O)C3=NNC=4CCCC34,Z9302745115,401.442,401.442,0.713,-3.585,4,5,133.05,5,https://real.enamine.net/public-enum-files/Z9302745115
O=C(COC=1C=CC=NC1)NCC=2C=C(ON2)C(=O)NC3CCC(=O)NC3=O,Z9302745156,387.348,387.348,-1.441,-1.801,3,7,152.52,7,https://real.enamine.net/public-enum-files/Z9302745156
CC1(C)COCCC1C(=O)NCC=2C=C(ON2)C(=O)NC3CCC(=O)NC3=O,Z9302745159,392.407,392.407,-1.528,-1.852,3,6,139.63,5,https://real.enamine.net/public-enum-files/Z9302745159
O=C(O)C(F)(F)F.O=C(COCC1=NN=CN1)NCC=2NN=CC2C(=O)NC3CCC(=O)NC3=O,Z9329660797,504.378,390.355,-3.65,-2.202,5,8,183.85,9,https://real.enamine.net/public-enum-files/Z9329660797
O=C(O)C(F)(F)F.CC(NC(=O)CNC=1C=CC=NC1)C2=NOC=C2C(=O)NC3CCC(=O)NC3=O,Z9327978418,514.413,400.39,-1.286,-2.477,4,7,155.32,8,https://real.enamine.net/public-enum-files/Z9327978418
CC(F)(C(=O)NCC1=CSC(=C1)C(=O)NC2CCC(=O)NC2=O)C=3C=CON3,Z9302745283,408.406,408.406,-0.717,-3.451,3,5,130.4,6,https://real.enamine.net/public-enum-files/Z9302745283
CCN1C=C(CC(=O)NCC2=CSC(=C2)C(=O)NC3CCC(=O)NC3=O)N=N1,Z9302745284,404.445,404.445,-1.521,-1.934,3,6,135.08,7,https://real.enamine.net/public-enum-files/Z9302745284
