"Molecule (Canonical)","ExactMW","label"
"OB(O)c1ccnc(Cl)c1F",175.000764668,"Covalent"
"OB(O)c1ccc(C(F)(F)F)o1",180.020559048,"Covalent"
"OB(O)c1ccc(C(F)F)nc1",173.045965272,"Covalent"
"COc1cccc(Cl)c1B(O)O",186.025502196,"Covalent"
"COCc1noc(C)c1B(O)O",171.0702882,"Covalent"
"CC(C)Oc1ccc(B(O)O)cc1",180.095774676,"Covalent"
"OB(O)c1ccnc(C(F)(F)F)c1",191.03654346,"Covalent"
"O=C(O)c1cc(B(O)O)ccc1F",184.03431729200003,"Covalent"
"COc1cc(C)c(B(O)O)cc1C",180.095774676,"Covalent"
"COc1ncc(B(O)O)c(OC)n1",184.06553716800002,"Covalent"
"COc1ccc(B(O)O)cc1CO",182.075039232,"Covalent"
"OB(O)c1ccc(C2CC2)cc1F",180.07578818,"Covalent"
"COc1ccc2oc(B(O)O)cc2c1",192.059389168,"Covalent"
"CCOC(=O)c1cccc(B(O)O)c1",194.075039232,"Covalent"
"Cn1ncc(B(O)O)c1Cl",160.021085512,"Covalent"
"OB(O)c1cccc(CC(F)F)c1",186.066366368,"Covalent"
"O=C(NC1CCOCC1)C12CC1C2",181.11027872,"Covalent"
"O=C1NCCC[C@@H]1NC(=O)C12CC1C2",194.105527688,"Covalent"
"CCc1ccc(B(O)O)s1",156.041630928,"Covalent"
"NCc1ccc(B(O)O)cc1",151.08045896,"Covalent"
"Cn1cc(B(O)O)ccc1=O",153.059723516,"Covalent"
"OB(O)c1ccc2c(c1)OCO2",166.043739104,"Covalent"
"OB(O)c1cccc2ccsc12",178.025980864,"Covalent"
"OB(O)c1cccc(C2CC2)c1",162.085209992,"Covalent"
"COc1ncc(F)cc1B(O)O",171.050301704,"Covalent"
"OB(O)c1cc2cccnc2s1",179.021229832,"Covalent"
"COc1ccc(N)cc1B(O)O",167.07537358,"Covalent"
"OB(O)c1ccc2nncn2c1",163.05530683199999,"Covalent"
"OB(O)c1cccc2nonc12",164.03932242,"Covalent"
"C=CCOc1ccccc1B(O)O",178.080124612,"Covalent"
"CNC(=O)c1ccc(B(O)O)cc1",179.07537358,"Covalent"
"CC(C)(C)c1ncc(B(O)O)cn1",180.10700805599998,"Covalent"
"O=C1OCc2ccc(B(O)O)cc21",178.043739104,"Covalent"
"CCOc1cc(F)ccc1B(O)O",184.0707028,"Covalent"
"CC(C)(C)c1ccc(B(O)O)cn1",179.11175908799999,"Covalent"
"COc1c(F)ccc(B(O)O)c1F",188.045630924,"Covalent"
"OB(O)c1cc2ccccc2nc1O",189.059723516,"Covalent"
"COC(=O)c1cc(C)cc(B(O)O)c1",194.075039232,"Covalent"
"CN(C)Cc1cc(B(O)O)ccc1F",197.102337276,"Covalent"
"O=C1Nc2cc(B(O)O)ccc2C1=O",191.03898807200002,"Covalent"
"OB(O)c1c[nH]nc1-c1ccccn1",189.07095689599998,"Covalent"
"Nc1ccncc1B(O)O",138.060057864,"Covalent"
"Nc1ccc(B(O)O)cn1",138.06005786400002,"Covalent"
"CCOc1ccccc1B(O)O",166.080124612,"Covalent"
"OB(O)c1ccc2nccn2c1",162.060057864,"Covalent"
"N#Cc1cccc(B(O)O)c1Cl",181.01018648,"Covalent"
"COC(=O)c1csc(B(O)O)c1",186.015810104,"Covalent"
"OB(O)c1cccc2c1CCO2",164.064474548,"Covalent"
"CSc1cc(C)c(B(O)O)cn1",183.05252996,"Covalent"
"OB(O)c1cccc2cccnc12",173.064808896,"Covalent"
"OB(O)c1ccc2c(c1)CCCO2",178.080124612,"Covalent"
"OB(O)c1cccc2c1OCCO2",180.059389168,"Covalent"
"CCc1ccc(OC)c(B(O)O)c1",180.095774676,"Covalent"
"Cn1ccc2c(B(O)O)cccc21",175.08045896,"Covalent"
"Cn1ncc2ncc(B(O)O)cc21",177.07095689599998,"Covalent"
"OB(O)c1ccccc1OCC1CC1",192.095774676,"Covalent"
"Cc1ccc2cc(B(O)O)ccc2n1",187.08045896000002,"Covalent"
"Cc1ccc(B(O)O)c2cccnc12",187.08045896000002,"Covalent"
"OB(O)c1cncc(-n2cccn2)c1",189.07095689599998,"Covalent"
"OB(O)c1ccc(C2(O)CCC2)cc1",192.095774676,"Covalent"
"Cn1ncc(B(O)O)c1C(F)(F)F",194.04744249200002,"Covalent"
"OB(O)c1cscc1C(F)F",178.00713724,"Covalent"
"OB(O)c1c(F)ccc2[nH]ncc12",180.050636052,"Covalent"
"OB(O)c1c(F)ccc2ccoc12",180.039402672,"Covalent"
"Cc1c(NC(=O)C23CC2C3)cnn1C",191.105862036,"Covalent"
"Cc1noc(C)c1B(O)O",141.059723516,"Covalent"
"Cc1cc(B(O)O)cnc1O",153.059723516,"Covalent"
"CN(C)c1ncc(B(O)O)cn1",167.08660695999998,"Covalent"
"OB(O)c1cc2ccccc2o1",162.048824484,"Covalent"
"COc1ccc(B(O)O)cc1OC",182.075039232,"Covalent"
"OB(O)c1cccc(C2CCC2)c1",176.100860056,"Covalent"
"COc1c(C)cc(C)cc1B(O)O",180.095774676,"Covalent"
"CC=CCOc1ccc(B(O)O)cc1",192.095774676,"Covalent"
"OB(O)c1ccc(-n2cccn2)cc1",188.07570792799999,"Covalent"
